The Data Nerd,@OnchainDataNerd
Tweet Range : 2024-04-21:2030-01-01
Save Path : C:\Users\86158\Desktop\学习内容\twitter_scrapy_for_text-main\OnchainDataNerd\
Tweet Date,Tweet URL,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-07-11 03:11,https://twitter.com/OnchainDataNerd/status/1811236824070922651,"Within 24 hours, #German_Gov transferred totally 10,853 $BTC to:

Coinbase: 875 $BTC (~$51.41M)
Cumberland: 536 $BTC (~$31.5M)
Flow Traders: 4,127 $BTC (~$242.5M)
Kraken: 1,125 $BTC (~$66.1M)
B2C2: 4,190 $BTC (~$246.17M)

Just now, they still owns 15,552 $BTC (~$900M)

Address: ",22,3,4
2024-07-10 09:52,https://twitter.com/OnchainDataNerd/status/1810975472295301583,"4 hours ago, a wallet (may belong to @BitcoinSuisseAG) just withdrew 1.453M $ARB (~$1.04M) from #Binance. 

Within 24 hours, they withdrew 3.47M $ARB (~$2.44M)

Address:
",12,0,3
2024-07-10 04:28,https://twitter.com/OnchainDataNerd/status/1810893766494208363,"13 hours ago, a whale 0x2da staked 2T $PEPE (~$18.42M) into @sophon.

Last year, he accumulated those token for $2.33M and has unrealized profit ~$16.09M.

Address:
",19,3,0
2024-07-10 01:44,https://twitter.com/OnchainDataNerd/status/1810852615498215786,"11 hours ago, a whale 0x3D2 deposited 8.6M $ONDO ($7.93M) to #Bybit. 

3 months ago, he accumulated those tokens at avg $0.6.

If sold at current price, he will earn $2.84M.

Address:
",20,0,2
2024-07-09 03:31,https://twitter.com/OnchainDataNerd/status/1810517069970149627,"Sometimes, whale has to cut-loss.

9 hours ago, a wallet 0x992 (may belong to @arca) deposited 9.1M $YGG (~$4.28M) to #Binance

3 months ago, they accumulated those tokens for $9.7M.

If sold at current price, they will have a loss ~$5.4M.

Address:
",23,2,3
2024-07-09 01:57,https://twitter.com/OnchainDataNerd/status/1810493482487976153,"4 hours ago, @wintermute_t deposited and sold 622.2B $PEPE (~$5.85M) on #Binance. 

Right after that, $PEPE's price reduced 5%.

Address:
",34,6,2
2024-07-08 14:36,https://twitter.com/OnchainDataNerd/status/1810321992505262156,"Within 8 hours, #German_Gov deposited totally 10,984 $BTC (~$627M) to exchanges and MMs:

Bitstamp: 2,350 $BTC ~ $133.89M
Coinbase: 2,050 $BTC ~ $116.82M
Kraken: 1,250 $BTC ~ $71.4M
@FlowTraders : 5,200 $BTC ~ $297.25M
Cumberland: 134 $BTC ~ $7.63M

Just now, they still hodls",26,7,1
2024-07-08 10:52,https://twitter.com/OnchainDataNerd/status/1810265805944389768,"9 hours ago, @wintermute_t deposited 7.77M $ARB (~$4.77M) to #Binance  and #Kraken 

Address:
",22,2,3
2024-07-08 01:27,https://twitter.com/OnchainDataNerd/status/1810123438864089279,"3 hours ago, a smart money 0x742 just deposited 7,240 $ETH (~$21.44M) to #Kraken 

2 years ago, he accumulated 8,240 $ETH for $9.85M with avg entry $1,195.

If sold all at current price, he will earn $12.78M.

Address:
",30,2,0
2024-07-07 12:46,https://twitter.com/OnchainDataNerd/status/1809932035013874010,"5 hours ago, an early investor of $PENDLE just deposited 447.35k $PENDLE (~$1.74M) to #Binance.

This one received 562.5k $PENDLE 2 years ago &amp; hasn't sold any till now.

Address:
",28,2,3
