NBA,@nba
Tweet Range : 2024-04-21:2030-01-01
Save Path : C:\Users\86158\Desktop\学习内容\twitter_scrapy_for_text-main\nba\
Tweet Date,Tweet URL,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-07-12 02:00,https://twitter.com/nba/status/1811581241621119212,".@LethalShooter__  and @IamKrisLondon share their earliest basketball memory as they prep for the @Hennessy NBA Creator Cup! 

🍿 8PM/PT | NBA App ",48,3,14
2024-07-12 01:36,https://twitter.com/nba/status/1811575437518164291,"The @Hennessy NBA Creator Cup coaches,  @LethalShooter__  and @IamKrisLondon, share their excitement ahead tonight's game!

📺 Tipoff is at 8PM/PT on the NBA App ",85,11,24
2024-07-12 01:16,https://twitter.com/nba/status/1811570168885125279,The @nyliberty get their @WNBA-leading 19th win of the year! 🔥,134,13,22
2024-07-12 01:00,https://twitter.com/nba/status/1811566147457724422,"Tonight's the night! 🤩

The top hoops creators take the court in Vegas for the   Hennessy NBA Creator Cup! Watch LIVE on the NBA App tonight at 8pm/pt!

📲: ",70,7,18
2024-07-12 00:52,https://twitter.com/nba/status/1811564336361693511,"ANGEL REESE…

CAN’T STOP. WON’T STOP. 🌟",1516,209,126
2024-07-12 00:51,https://twitter.com/nba/status/1811564115480989957,"Sabrina Ionescu drills the DEEP 3!

She has 11 PTS in the 4Q… 21 for the game 🔥

📺 Sky-Liberty | Prime Video
",224,19,12
2024-07-12 00:50,https://twitter.com/nba/status/1811563625565552648,"Tristan Jass is the favorite to be the leading scorer of tonight's Hennessy NBA Creator Cup 👀

Follow along starting at 8pm/pt on the NBA App!
📲: ",68,6,12
2024-07-12 00:30,https://twitter.com/nba/status/1811558748709630164,"The Sabrina steal.
The Sabrina no-look. 
The Stewie bucket.

Liberty take the lead in Q3 on Prime Video!
",205,15,13
2024-07-12 00:18,https://twitter.com/nba/status/1811555676335853889,JONQUEL JONES! 📈💪,109,9,10
2024-07-12 00:06,https://twitter.com/nba/status/1811552743191884272,"Gritty Eastern Conference matchup between the @chicagosky/@nyliberty 🍿

2nd half coming up NEXT on Prime!",87,6,14
2024-07-11 22:12,https://twitter.com/nba/status/1811523974351978791,"Can your favorite Hoops Creators spin the 🏀 on their finger? 🤔

Watch them lace it up tonight at the Hennessy NBA Creator Cup at 8pm/pt on the NBA App! ",169,15,27
2024-07-11 20:28,https://twitter.com/nba/status/1811497721658036619,"Chef Curry ↗️ King James 💥

The ultimate connection 🇺🇸",741,64,48
2024-07-11 20:07,https://twitter.com/nba/status/1811492419826786674,"“Zach to the rack!”

Zach LaVine went up WITH AUTHORITY for a monster one-hand jam in the 2014 #NBA2KSummerLeague 💥 ",404,28,41
2024-07-11 19:50,https://twitter.com/nba/status/1811488276273860787,Who will score the most points in the @Hennessy NBA Creator Cup? ,160,15,30
2024-07-11 18:15,https://twitter.com/nba/status/1811464392346861878,"Set your alarms - the Group Play Draw for the #EmiratesNBACup 2024 will take place Friday night!

Watch on ESPN tomorrow (Friday, July 12) at 7pm/et during NBA Today: Emirates NBA Cup Group Reveal. ",328,68,45
2024-07-11 18:09,https://twitter.com/nba/status/1811462782442713265,"30 TEAMS. 8 ADVANCE. 1 CHAMPION 🏆

The second #EmiratesNBACup tips off with Group Play games from November 12 through December 3, with the semifinals and championship held in Las Vegas, December 14 and 17! ",877,167,67
2024-07-11 17:59,https://twitter.com/nba/status/1811460201540661323,"#EmiratesNBACup 🏆

The in-season competition returns November 12th with a new name and logo!

The draw for Group Play will be unveiled on ESPN tomorrow (Friday, July 12) at 7pm/et during NBA Today: Emirates NBA Cup Group Reveal. ",699,163,48
2024-07-11 17:06,https://twitter.com/nba/status/1811446952485150768,"Before the #NBA2KSummerLeague tips off tomorrow…

The best plays from Las Vegas Summer League over the past 5 NBA seasons ⤵️ ",226,20,21
2024-07-11 16:54,https://twitter.com/nba/status/1811443893595947436,"Depositing the best moments from the California Classic &amp; Salt Lake City Summer League into the @sofi photo bank!

SoFi, the Official Bank of the NBA. ",176,20,14
2024-07-11 16:52,https://twitter.com/nba/status/1811443340447220168,"Check out the top immersive highlights from the Best NBA regular season games with Meta Quest 3. 

The best way to watch a game is with @MetaQuestVR, official MR headset of the NBA. ",98,11,24
2024-07-11 16:48,https://twitter.com/nba/status/1811442423635095793,"Follow in the footsteps of Jayson Tatum, A'ja Wilson, and Vince Carter, and chase perfection in NBA 2K25. 

Pre-Order Now. Ball Over Everything. #NBA2KSummerLeague @NBA2K ",229,34,34
2024-07-11 15:45,https://twitter.com/nba/status/1811426542410416456,"T Jass took OVER at the last Creator Cup 🔥
 
What will @TristanJass do at this year's Hennessy NBA Creator Cup? Get tickets to the game in Las Vegas tonight at 8pm/pt, or watch live on the NBA App!
 
🎟️ 📰: ",150,15,31
2024-07-11 14:49,https://twitter.com/nba/status/1811412483720024139,"Drama in the halfcourt shootout 👀

Which challenge do you want to see in tonight’s Hennessy NBA Creator Cup? Vote now with your NBA ID, and tune in at 8pm/pt on the NBA App! 

➡️: ",160,20,23
2024-07-11 14:42,https://twitter.com/nba/status/1811410763619185098,Anthony Davis has been a vocal spark plug on the floor for the #USABMNT 🇺🇸🔊 ,1297,147,42
